rating,review_count,isbn,booktype,author,year,genres,dir,rating_count,name
3.75,3568,0743278909,good_reads:book,Richard Bach,1970,fiction|classics|philosophy|fantasy|spirituality|inspirational|literature|young-adult|novels|self-help,dir02/71728.Jonathan_Livingston_Seagull.html,3568,Jonathan Livingston Seagull
4.21,5811,0394820371,good_reads:book,Norton Juster,1961,fantasy|fiction|childrens|classics|young-adult|humor|adventure|childrens|middle-grade|childrens|juvenile|academic|school,dir02/378.The_Phantom_Tollbooth.html,5811,The Phantom Tollbooth
3.46,2016,0140424385,good_reads:book,Geoffrey Chaucer,1390,classics|fiction|poetry|literature|academic|school|historical-fiction|medieval|short-stories|historical-fiction|classics|classic-literature|european-literature|british-literature,dir02/2696.The_Canterbury_Tales.html,2016,The Canterbury Tales
4.04,3591,0345915593,good_reads:book,John Irving,1978,classics|literature|contemporary|novels|humor|literature|american|literary-fiction|adult-fiction|drama|adult,dir02/7069.The_World_According_to_Garp.html,3591,The World According to Garp
3.97,3952,0553381679,good_reads:book,Jean M Auel,1980,fiction|fantasy|romance|classics|adventure|historical-fiction|prehistoric|adult|historical-fiction|adult-fiction|novels,dir02/1295.The_Clan_of_the_Cave_Bear.html,3952,"The Clan of the Cave Bear (Earth's Children, #1)"
3.72,3527,0679722769,good_reads:book,James Joyce,1920,classics|fiction|literature|european-literature|irish-literature|novels|cultural|ireland|literature|20th-century|literary-fiction|literature|banned-books|classics|classic-literature,dir02/338798.Ulysses.html,3527,Ulysses
3.61,5038,0192840398,good_reads:book,Gustave Flaubert,1856,classics|fiction|cultural|france|literature|european-literature|french-literature|romance|literature|19th-century|novels|historical-fiction|classics|classic-literature,dir02/2175.Madame_Bovary.html,5038,Madame Bovary
3.47,20152,0060987103,good_reads:book,Gregory Maguire,1995,fantasy|book-club|adult|science-fiction-fantasy|adult-fiction|fantasy|fairy-tales|fantasy|magic|paranormal|witches|novels|contemporary,dir02/37442.Wicked.html,20152,Wicked (The Wicked Years #1)
4.02,14169,0743227441,good_reads:book,Philippa Gregory,2001,historical-fiction|fiction|romance|book-club|adult|womens-fiction|chick-lit|romance|historical-romance|european-literature|british-literature|adult-fiction|drama,dir02/37470.The_Other_Boleyn_Girl.html,14169,"The Other Boleyn Girl (The Tudor Court, #2)"
4.26,9131,0060853980,good_reads:book,Terry Pratchett,1990,fantasy|fiction|humor|humor|comedy|fantasy|urban-fantasy|science-fiction-fantasy|humor|funny|science-fiction,dir02/12067.Good_Omens.html,9131,Good Omens
3.76,4890,0099910101,good_reads:book,Ernest Hemingway,1929,classics|fiction|literature|war|historical-fiction|novels|literature|american|romance|academic|school|classics|classic-literature,dir02/10799.A_Farewell_to_Arms.html,4890,A Farewell to Arms
4.32,2851,0679805273,good_reads:book,Dr Seuss,1990,childrens|childrens|picture-books|fiction|classics|poetry|fantasy|young-adult|inspirational|kids|humor,dir02/191139.Oh_The_Places_You_ll_Go_.html,2851,"Oh, The Places You'll Go!"
3.77,4102,0439227143,good_reads:book,Jack London,1903,classics|young-adult|literature|academic|school|childrens|animals|dogs|literature|american|classics|classic-literature|academic|read-for-school,dir02/1852.The_Call_of_the_Wild.html,4102,The Call of the Wild
3.81,3566,0141439742,good_reads:book,Charles Dickens,1839,classics|fiction|literature|historical-fiction|novels|classics|classic-literature|literature|19th-century|european-literature|british-literature|young-adult|academic|school,dir02/18254.Oliver_Twist.html,3566,Oliver Twist
